五行,無料(○),アイテム,似合う色,メモ,時間帯,九星タグ,表示文,カテゴリ,使う場面,季節タグ,重複回避タグ
土,,革のブックマーク,キャメル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「革のブックマーク」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|キャメル|革のブックマーク
土,,土色のスマホケース,アースブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「土色のスマホケース」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,デジタル・仕事道具,机まわりを整える,通年,土|デジタル・仕事道具|アースブラウン|土色のスマホケース
土,,ベージュのカードケース,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのカードケース」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|ベージュ|ベージュのカードケース
土,,甘栗,栗色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「甘栗」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,秋,土|日用品|栗色|甘栗
土,,コーンスープ,コーンイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「コーンスープ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|コーンイエロー|コーンスープ
土,,黄色い花束,ミモザイエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色い花束」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,植物・花,部屋や机まわりを整える,春,土|植物・花|ミモザイエロー|黄色い花束
土,,陶器の茶碗,オフホワイト,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器の茶碗」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|オフホワイト|陶器の茶碗
土,,ベージュのカーディガン,グレージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのカーディガン」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|グレージュ|ベージュのカーディガン
土,,ブラウンのベルト,ブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ブラウンのベルト」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|ブラウン|ブラウンのベルト
土,,小豆のお菓子,小豆色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「小豆のお菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|小豆色|小豆のお菓子
土,,丸い箸置き,土色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「丸い箸置き」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|土色|丸い箸置き
土,,クラフト紙のノート,クラフトブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「クラフト紙のノート」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|クラフトブラウン|クラフト紙のノート
土,,黄色いペン,マスタード,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いペン」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|マスタード|黄色いペン
土,,ベージュのマウスパッド,サンドベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのマウスパッド」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,デジタル・仕事道具,机まわりを整える,通年,土|デジタル・仕事道具|サンドベージュ|ベージュのマウスパッド
土,,焼き芋,黄金色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「焼き芋」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|黄金色|焼き芋
土,,もちもちしたパン,ウィート,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「もちもちしたパン」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|ウィート|もちもちしたパン
土,,小さな土鈴,土色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「小さな土鈴」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|土色|小さな土鈴
土,,陶器のアロマストーン,アイボリー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器のアロマストーン」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,香り・灯り,気分の切り替え,通年,土|香り・灯り|アイボリー|陶器のアロマストーン
土,,ベージュのスマホ壁紙,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのスマホ壁紙」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,デジタル・仕事道具,机まわりを整える,通年,土|デジタル・仕事道具|ベージュ|ベージュのスマホ壁紙
土,,ブラウンのトートバッグ,ブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ブラウンのトートバッグ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|ブラウン|ブラウンのトートバッグ
土,,黄色いクリアファイル,イエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いクリアファイル」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|イエロー|黄色いクリアファイル
土,,丸い木の時計,ナチュラルブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「丸い木の時計」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|ナチュラルブラウン|丸い木の時計
土,,干し芋,イエローオークル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「干し芋」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|イエローオークル|干し芋
土,,土色のペーパーウェイト,アースブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「土色のペーパーウェイト」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|アースブラウン|土色のペーパーウェイト
土,,ベージュのブランケット,グレージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのブランケット」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,秋・冬,土|暮らしの道具|グレージュ|ベージュのブランケット
土,,玄米のおにぎり,玄米色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「玄米のおにぎり」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|玄米色|玄米のおにぎり
土,,キャラメル色の手袋,キャメル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「キャラメル色の手袋」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,秋・冬,土|身につけるもの|キャメル|キャラメル色の手袋
土,,黄色いマスキングテープ,マスタード,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いマスキングテープ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|マスタード|黄色いマスキングテープ
土,,ほうじ茶ラテ,キャラメル,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ほうじ茶ラテ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|キャラメル|ほうじ茶ラテ
土,,陶器の水差し,サンドベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器の水差し」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|サンドベージュ|陶器の水差し
土,,ベージュのペンケース,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのペンケース」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|ベージュ|ベージュのペンケース
土,,山のポストカード,アースブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「山のポストカード」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|アースブラウン|山のポストカード
土,,ブラウンの靴下,ブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ブラウンの靴下」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|ブラウン|ブラウンの靴下
土,,木製の収納棚,ナチュラルブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「木製の収納棚」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|ナチュラルブラウン|木製の収納棚
土,,黄色いスマホリング,イエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いスマホリング」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|イエロー|黄色いスマホリング
土,,味噌玉,ウォームブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「味噌玉」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|ウォームブラウン|味噌玉
土,,小さな籐トレー,ナチュラルブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「小さな籐トレー」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,暮らしの道具,生活の土台を整える,通年,土|暮らしの道具|ナチュラルブラウン|小さな籐トレー
土,,ベージュの名刺入れ,グレージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュの名刺入れ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|グレージュ|ベージュの名刺入れ
土,,黄土色のブックカバー,黄土色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄土色のブックカバー」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|黄土色|黄土色のブックカバー
土,,陶器のキャンドルホルダー,テラコッタ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「陶器のキャンドルホルダー」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,香り・灯り,気分の切り替え,秋・冬,土|香り・灯り|テラコッタ|陶器のキャンドルホルダー
土,,栗色のノートPCケース,栗色,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「栗色のノートPCケース」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,秋,土|文具・学び|栗色|栗色のノートPCケース
土,,クリーム色のシャツ,クリーム,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「クリーム色のシャツ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|クリーム|クリーム色のシャツ
土,,黄色い折りたたみ傘,マスタード,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色い折りたたみ傘」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,梅雨,土|身につけるもの|マスタード|黄色い折りたたみ傘
土,,黒糖のお菓子,黒糖ブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黒糖のお菓子」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|黒糖ブラウン|黒糖のお菓子
土,,サンドカラーの財布,サンドベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「サンドカラーの財布」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,身につけるもの,外出前・身支度,通年,土|身につけるもの|サンドベージュ|サンドカラーの財布
土,,ベージュのポストカード,ベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「ベージュのポストカード」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,文具・学び,考えごと・学び,通年,土|文具・学び|ベージュ|ベージュのポストカード
土,,じゃがいも料理,ポテトベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「じゃがいも料理」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|ポテトベージュ|じゃがいも料理
土,,土色のランチクロス,アースブラウン,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「土色のランチクロス」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|アースブラウン|土色のランチクロス
土,,小さな石の置物,ストーンベージュ,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「小さな石の置物」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|ストーンベージュ|小さな石の置物
土,,クリーム色のマグカップ,クリーム,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「クリーム色のマグカップ」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,飲食・休息,休憩・回復,通年,土|飲食・休息|クリーム|クリーム色のマグカップ
土,,黄色いキーホルダー,イエロー,土台・暮らし・安心感を戻すヒント,朝・昼,二黒土星・五黄土星・八白土星,今日は「黄色いキーホルダー」を取り入れると、足元の感覚を取り戻しやすいかもしれません。,日用品,日常に小さく取り入れる,通年,土|日用品|イエロー|黄色いキーホルダー
金,○,シルバーのアクセサリー,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「シルバーのアクセサリー」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|シルバー|シルバーのアクセサリー
金,○,白いシャツ,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いシャツ」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|ホワイト|白いシャツ
金,○,みがいた鏡,シルバーグレー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「みがいた鏡」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|シルバーグレー|みがいた鏡
金,○,金属のペン,ガンメタル,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「金属のペン」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ガンメタル|金属のペン
金,○,白いハンカチ,オフホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いハンカチ」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|オフホワイト|白いハンカチ
金,○,真鍮のしおり,ブラスゴールド,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「真鍮のしおり」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ブラスゴールド|真鍮のしおり
金,○,白い陶器のプレート,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白い陶器のプレート」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|ホワイト|白い陶器のプレート
金,○,シルバーのリング,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「シルバーのリング」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|シルバー|シルバーのリング
金,○,ホワイトフローラルの香水,パールホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「ホワイトフローラルの香水」を取り入れると、気持ちの輪郭を整えやすい日です。,香り・灯り,気分の切り替え,通年,金|香り・灯り|パールホワイト|ホワイトフローラルの香水
金,○,ステンレスのボトル,ステンレスシルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「ステンレスのボトル」を取り入れると、気持ちの輪郭を整えやすい日です。,飲食・休息,休憩・回復,通年,金|飲食・休息|ステンレスシルバー|ステンレスのボトル
金,○,パールのピアス,パール,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「パールのピアス」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|パール|パールのピアス
金,○,白いスニーカー,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いスニーカー」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|ホワイト|白いスニーカー
金,○,金縁のアクセサリートレイ,ゴールド,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「金縁のアクセサリートレイ」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|ゴールド|金縁のアクセサリートレイ
金,○,クロームのキーリング,クローム,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「クロームのキーリング」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|クローム|クロームのキーリング
金,○,白磁のカップ,白磁,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白磁のカップ」を取り入れると、気持ちの輪郭を整えやすい日です。,飲食・休息,休憩・回復,通年,金|飲食・休息|白磁|白磁のカップ
金,○,シルバーの腕時計,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「シルバーの腕時計」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|シルバー|シルバーの腕時計
金,○,アイボリーのニット,アイボリー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「アイボリーのニット」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,秋・冬,金|身につけるもの|アイボリー|アイボリーのニット
金,○,ミニ鏡,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「ミニ鏡」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|シルバー|ミニ鏡
金,○,銀のブックマーカー,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「銀のブックマーカー」を取り入れると、気持ちの輪郭を整えやすい日です。,日用品,日常に小さく取り入れる,通年,金|日用品|シルバー|銀のブックマーカー
金,○,白い花を一輪,ピュアホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白い花を一輪」を取り入れると、気持ちの輪郭を整えやすい日です。,植物・花,部屋や机まわりを整える,春,金|植物・花|ピュアホワイト|白い花を一輪
金,○,白いノート,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いノート」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ホワイト|白いノート
金,○,シルバーのペンケース,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「シルバーのペンケース」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|シルバー|シルバーのペンケース
金,○,金色のクリップ,ゴールド,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「金色のクリップ」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ゴールド|金色のクリップ
金,○,白いカードケース,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いカードケース」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ホワイト|白いカードケース
金,○,メタルフレームの眼鏡,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「メタルフレームの眼鏡」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|シルバー|メタルフレームの眼鏡
金,○,白いスマホケース,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いスマホケース」を取り入れると、気持ちの輪郭を整えやすい日です。,デジタル・仕事道具,机まわりを整える,通年,金|デジタル・仕事道具|ホワイト|白いスマホケース
金,○,銀色のマグカップ,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「銀色のマグカップ」を取り入れると、気持ちの輪郭を整えやすい日です。,飲食・休息,休憩・回復,通年,金|飲食・休息|シルバー|銀色のマグカップ
金,○,白いマスキングテープ,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いマスキングテープ」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ホワイト|白いマスキングテープ
金,○,金属製の定規,ステンレス,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「金属製の定規」を取り入れると、気持ちの輪郭を整えやすい日です。,日用品,日常に小さく取り入れる,通年,金|日用品|ステンレス|金属製の定規
金,○,白いデスクトレー,オフホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いデスクトレー」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|オフホワイト|白いデスクトレー
金,,小さなはさみ,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「小さなはさみ」を取り入れると、気持ちの輪郭を整えやすい日です。,日用品,日常に小さく取り入れる,通年,金|日用品|シルバー|小さなはさみ
金,,白いイヤホンケース,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いイヤホンケース」を取り入れると、気持ちの輪郭を整えやすい日です。,デジタル・仕事道具,机まわりを整える,通年,金|デジタル・仕事道具|ホワイト|白いイヤホンケース
金,,シルバーのキーホルダー,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「シルバーのキーホルダー」を取り入れると、気持ちの輪郭を整えやすい日です。,日用品,日常に小さく取り入れる,通年,金|日用品|シルバー|シルバーのキーホルダー
金,,白いブックカバー,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いブックカバー」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ホワイト|白いブックカバー
金,,ゴールドのしおり,ゴールド,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「ゴールドのしおり」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ゴールド|ゴールドのしおり
金,,白いポーチ,アイボリー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いポーチ」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|アイボリー|白いポーチ
金,,金属製の名刺入れ,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「金属製の名刺入れ」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|シルバー|金属製の名刺入れ
金,,白いタオル,ピュアホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いタオル」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|ピュアホワイト|白いタオル
金,,銀色のスマホリング,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「銀色のスマホリング」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|シルバー|銀色のスマホリング
金,,白いクリアファイル,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いクリアファイル」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ホワイト|白いクリアファイル
金,,シルバーのマウスパッド,シルバーグレー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「シルバーのマウスパッド」を取り入れると、気持ちの輪郭を整えやすい日です。,デジタル・仕事道具,机まわりを整える,通年,金|デジタル・仕事道具|シルバーグレー|シルバーのマウスパッド
金,,ゴールドの小皿,ゴールド,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「ゴールドの小皿」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|ゴールド|ゴールドの小皿
金,,白い折りたたみ傘,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白い折りたたみ傘」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,梅雨,金|身につけるもの|ホワイト|白い折りたたみ傘
金,,金属のコースター,ステンレス,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「金属のコースター」を取り入れると、気持ちの輪郭を整えやすい日です。,暮らしの道具,生活の土台を整える,通年,金|暮らしの道具|ステンレス|金属のコースター
金,,白いキャンドル,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白いキャンドル」を取り入れると、気持ちの輪郭を整えやすい日です。,香り・灯り,気分の切り替え,秋・冬,金|香り・灯り|ホワイト|白いキャンドル
金,,シルバーのイヤリング,シルバー,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「シルバーのイヤリング」を取り入れると、気持ちの輪郭を整えやすい日です。,身につけるもの,外出前・身支度,通年,金|身につけるもの|シルバー|シルバーのイヤリング
金,,白い手帳,ホワイト,整える・磨く・輪郭を作るヒント,朝・外出前,六白金星・七赤金星,今日は「白い手帳」を取り入れると、気持ちの輪郭を整えやすい日です。,文具・学び,考えごと・学び,通年,金|文具・学び|ホワイト|白い手帳
